version;filename;loc;loc_touched;NR;NFix;NAuth;LOC_added;MAX_LOC_added;AVG_LOC_added
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractVersionStrategy.java;67;67;1;_;0;67;67;67
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/BlobValueHandler.java;48;48;1;_;0;48;48;48
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ByteArrayValueHandler.java;59;59;1;_;0;59;59;59
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/CharArrayStreamValueHandler.java;80;80;1;_;0;80;80;80
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/CharArrayValueHandler.java;63;63;1;_;0;63;63;63
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ClassNameDiscriminatorStrategy.java;123;123;1;_;0;123;123;123
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ClobValueHandler.java;48;48;1;_;0;48;48;48
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ColumnVersionStrategy.java;262;262;1;_;0;262;262;262
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ContainerFieldStrategy.java;130;130;1;_;0;130;130;130
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java;1571;1571;1;_;0;1571;1571;1571
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedValueHandler.java;169;169;1;_;0;169;169;169
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbeddedClassStrategy.java;92;92;1;_;0;92;92;92
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/FlatClassStrategy.java;65;65;1;_;0;65;65;65
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/FullClassStrategy.java;133;133;1;_;0;133;133;133
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerFieldStrategy.java;399;399;1;_;0;399;399;399
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerHandlerMapTableFieldStrategy.java;254;254;1;_;0;254;254;254
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerStrategies.java;257;257;1;_;0;257;257;257
